name,wins,losses,ties,record,ranking_id,season_week,season
BYU,8,3,0,8-3,13,1982.013,1982
Ball State,5,6,0,5-6,13,1982.013,1982
Baylor,4,6,1,4-6-1,13,1982.013,1982
Boston College,6,2,1,6-2-1,13,1982.013,1982
Bowling Green,7,4,0,7-4,13,1982.013,1982
Cal State Fullerton,1,7,0,1-7,13,1982.013,1982
California,7,4,0,7-4,13,1982.013,1982
Central Michigan,6,4,1,6-4-1,13,1982.013,1982
Cincinnati,4,5,0,4-5,13,1982.013,1982
Clemson,8,1,1,8-1-1,13,1982.013,1982
Colorado,2,8,1,2-8-1,13,1982.013,1982
Colorado State,4,7,0,4-7,13,1982.013,1982
Drake,2,5,0,2-5,13,1982.013,1982
Duke,6,5,0,6-5,13,1982.013,1982
East Carolina,5,4,0,5-4,13,1982.013,1982
Eastern Michigan,1,7,1,1-7-1,13,1982.013,1982
Florida,7,3,0,7-3,13,1982.013,1982
Florida State,8,2,0,8-2,13,1982.013,1982
Fresno State,7,0,0,7-0,13,1982.013,1982
Georgia,11,0,0,11-0,13,1982.013,1982
Georgia Tech,5,5,0,5-5,13,1982.013,1982
Hawai'i,5,4,0,5-4,13,1982.013,1982
Houston,4,5,1,4-5-1,13,1982.013,1982
Illinois,7,4,0,7-4,13,1982.013,1982
Illinois State,0,7,0,0-7,13,1982.013,1982
Indiana,5,6,0,5-6,13,1982.013,1982
Indiana State,4,5,0,4-5,13,1982.013,1982
Iowa,7,4,0,7-4,13,1982.013,1982
Iowa State,4,6,1,4-6-1,13,1982.013,1982
Kansas,2,7,2,2-7-2,13,1982.013,1982
Kansas State,5,4,1,5-4-1,13,1982.013,1982
Kent State,0,10,0,0-10,13,1982.013,1982
Kentucky,0,10,1,0-10-1,13,1982.013,1982
LSU,8,2,1,8-2-1,13,1982.013,1982
Long Beach State,6,5,0,6-5,13,1982.013,1982
Louisiana,4,1,0,4-1,13,1982.013,1982
Louisville,4,6,0,4-6,13,1982.013,1982
Maryland,8,3,0,8-3,13,1982.013,1982
Memphis,0,10,0,0-10,13,1982.013,1982
Miami,7,4,0,7-4,13,1982.013,1982
Miami (OH),7,4,0,7-4,13,1982.013,1982
Michigan,8,3,0,8-3,13,1982.013,1982
Michigan State,2,9,0,2-9,13,1982.013,1982
